HotelID,AccommodationName,LocationID,Type,LocationName,BrandList
DIST0000056061,All Inclusive Halcyon Cove By Rex Resorts,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand>
DIST0000061071,Carlisle Bay,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand><Brand>EXP</Brand><Brand>JET</Brand>
DIST0000061380,Catamaran Hotel Marina,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000062656,Cocobay Resort,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand><Brand>JET</Brand>
DIST0000062659,Coconut Beach Club,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand><Brand>EXP</Brand><Brand>JET</Brand>
DIST0000063781,Curtain Bluff,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000064372,Dickenson Bay Cottages,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000066898,Galley Bay Resort & Spa - Antigua - All-Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000066899,Galley Bay Resort And Spa An Elite Island Resort - All Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand>
DIST0000068592,Hawksbill Beach All Inclusive by Rex Resorts,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000068607,HBK Villa Rentals,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000068707,Hermitage Bay All Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000074617,Inn At English Harbour,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000075089,Jolly Beach Resort,1315,DestinationCountry,Antigua and Barbuda,<Brand>JET</Brand>
DIST0000075090,Jolly Beach Resort & Spa All Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand><Brand>EXP</Brand>
DIST0000075131,"Jumby Bay, A Rosewood Resort",1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000075481,Keyonna Beach All Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000080039,Nonsuch Bay Resort,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand><Brand>EXP</Brand><Brand>JET</Brand>
DIST0000085347,Sandals Grande Antigua Resort & Spa All Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand><Brand>EXP</Brand>
DIST0000086335,Siboney Beach Club,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000087170,St. James Club And Villas An Elite Island Resort - All Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand>
DIST0000087178,St. James's Club Antigua All Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000088735,The Lighthouse Bay Resort Barbuda,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand>
DIST0000089241,The Verandah Resort And Spa An Elite Island Resort - All Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand>
DIST0000089250,The Villas at Sunset Lane All Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000089692,Trade Winds Hotel,1315,DestinationCountry,Antigua and Barbuda,<Brand>EBK</Brand><Brand>EXP</Brand><Brand>JET</Brand>
DIST0000090424,Verandah Resort & Spa Antigua All Inclusive,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000091794,Yepton Estate Cottages,1315,DestinationCountry,Antigua and Barbuda,<Brand>EXP</Brand>
DIST0000056058,All Inclusive - Holiday Inn Resort Aruba,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000056059,All Inclusive - Manchebo Beach Resort And Spa,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000056060,All Inclusive - Renaissance Aruba Resort And Casino,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000056513,Amsterdam Manor Beach Resort,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000057866,Aruba Bucuti Beach Resort And Tara Beach Suites,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000057867,Aruba Harmony Apartments,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000057868,Aruba Marriott Resort And Stellaris Casino,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000060224,Boardwalk Hotel Aruba,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000060432,Brickell Bay Beach Club And Spa / Boutique Hotel,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000061041,Caribbean Palm Village Resort,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000062326,Club Arias Bed And Breakfast,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000064501,Divi Aruba All Inclusive,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000064502,Divi Aruba Phoenix Resort,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000064503,Divi Dutch Village,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000064510,Divi Village Golf And Beach Resort - All Suites,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000067191,Gold Coast Aruba,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000074109,Hyatt Regency Aruba,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000077524,Manchebo Beach Resort And Spa,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000078073,Marriott's Aruba Ocean Club,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000079406,Mvc Eagle Beach,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000080364,Occidental Grand Aruba All Inclusive,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000081285,Paradera Park,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000083220,"Radisson Aruba Resort, Casino And Spa",2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000083830,Renaissance Aruba Resort And Casino,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000088005,Talk Of The Town Hotel & Beach Club,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000088018,Tamarijn Aruba All Inclusive,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000088819,The Mill Resort And Suites Aruba,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000089276,The Westin Aruba Resort,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000089434,"Tierra Del Sol Resort, Spa And Country Club Aruba",2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000089880,Tropicana Aruba Resort And Casino,2846,DestinationCountry,Aruba,<Brand>EBK</Brand>
DIST0000055230,Accra Beach Hotel And Resort,1324,DestinationCountry,Barbados,<Brand>EBK</Brand>
DIST0000055422,Adulo Apartments,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000056129,Almond Casuarina Beach Resort - All Inclusive,1324,DestinationCountry,Barbados,<Brand>EBK</Brand>
DIST0000056681,Angler Apartments,1324,DestinationCountry,Barbados,<Brand>EBK</Brand><Brand>EXP</Brand>
DIST0000058184,Atlantis Hotel,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000058777,Barbados Beach Club - All Inclusive Resort,1324,DestinationCountry,Barbados,<Brand>EBK</Brand><Brand>EXP</Brand>
DIST0000058975,Battaleys Mews,1324,DestinationCountry,Barbados,<Brand>EBK</Brand><Brand>EXP</Brand>
DIST0000061332,Casuarina Beach Resort All Inclusive,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000063160,Coral Sands Beach Resort,1324,DestinationCountry,Barbados,<Brand>EBK</Brand><Brand>EXP</Brand>
DIST0000064504,Divi Heritage,1324,DestinationCountry,Barbados,<Brand>EBK</Brand>
DIST0000067552,Grand Barbados Beach Resort,1324,DestinationCountry,Barbados,<Brand>EBK</Brand><Brand>EXP</Brand>
